"Регион","Год","salary","invest","district","latitude","dist_moscow","population"
"Агинский Бурятски...",2000,995.1,0.1,"Сибирский федеральный округ",51.1,6200,71250
"Агинский Бурятски...",2001,1502.7,30.4,"Сибирский федеральный округ",51.1,6200,71476
"Агинский Бурятски...",2002,2345.9,22.5,"Сибирский федеральный округ",51.1,6200,72029
"Алтайский край",2000,1224.2,426.5,"Сибирский федеральный округ",53.35,3610,2646355
"Алтайский край",2001,1690.7,1208.3,"Сибирский федеральный округ",53.35,3610,2631066
"Алтайский край",2002,2194.2,1465.1,"Сибирский федеральный округ",53.35,3610,2611822
"Алтайский край",2003,2894.5,1979.2,"Сибирский федеральный округ",53.35,3610,2587291
"Алтайский край",2004,3495.7,2369.7,"Сибирский федеральный округ",53.35,3610,2555708
"Алтайский край",2005,4639.7,3342.9,"Сибирский федеральный округ",53.35,3610,2521470
"Алтайский край",2006,6369.1,4391.5,"Сибирский федеральный округ",53.35,3610,2488267
"Алтайский край",2007,7597.1,7043.4,"Сибирский федеральный округ",53.35,3610,2463239
"Алтайский край",2008,9973.6,8836.4,"Сибирский федеральный округ",53.35,3610,2446182
"Алтайский край",2009,9868.3,7692,"Сибирский федеральный округ",53.35,3610,2434837
"Алтайский край",2010,11029.3,7174.9,"Сибирский федеральный округ",53.35,3610,2424062
"Алтайский край",2011,12499.9,6624.5,"Сибирский федеральный округ",53.35,3610,2407072
"Алтайский край",2012,13628.9,9825,"Сибирский федеральный округ",53.35,3610,2387382
"Амурская область",2000,1825.2,214,"Дальневосточный федеральный округ",50.28,7900,929327
"Амурская область",2001,2313,601.9,"Дальневосточный федеральный округ",50.28,7900,917229
"Амурская область",2002,2874.6,928.5,"Дальневосточный федеральный округ",50.28,7900,906213
"Амурская область",2003,3852.4,1086.8,"Дальневосточный федеральный округ",50.28,7900,894411
"Амурская область",2004,4695.3,1200.1,"Дальневосточный федеральный округ",50.28,7900,880899
"Амурская область",2005,5987.7,1753.6,"Дальневосточный федеральный округ",50.28,7900,867537
"Амурская область",2006,7419,2023.7,"Дальневосточный федеральный округ",50.28,7900,855778
"Амурская область",2007,9662.3,3335.5,"Дальневосточный федеральный округ",50.28,7900,847396
"Амурская область",2008,12297.4,2372.1,"Дальневосточный федеральный округ",50.28,7900,841578
"Амурская область",2009,13196.4,1953.8,"Дальневосточный федеральный округ",50.28,7900,836886
"Амурская область",2010,14323.4,1895.4,"Дальневосточный федеральный округ",50.28,7900,831782
"Амурская область",2011,17789.7,4003.5,"Дальневосточный федеральный округ",50.28,7900,824643
"Амурская область",2012,21469.3,5955.8,"Дальневосточный федеральный округ",50.28,7900,817894
"Астраханская область",2000,1778.6,374.2,"Южный федеральный округ",46.35,1560,1010834
"Астраханская область",2001,2333.3,2791.3,"Южный федеральный округ",46.35,1560,1007395
"Астраханская область",2002,3058,3249,"Южный федеральный округ",46.35,1560,1005140
"Астраханская область",2003,3864.1,4439,"Южный федеральный округ",46.35,1560,1005427
"Астраханская область",2004,4559.4,5460.4,"Южный федеральный округ",46.35,1560,1006270
"Астраханская область",2005,5636.4,6502.7,"Южный федеральный округ",46.35,1560,1004492
"Астраханская область",2006,7035,7374.2,"Южный федеральный округ",46.35,1560,1001908
"Астраханская область",2007,8638.6,9361,"Южный федеральный округ",46.35,1560,1003598
"Астраханская область",2008,11066.9,9535.4,"Южный федеральный округ",46.35,1560,1007911
"Астраханская область",2009,13011.9,8965.2,"Южный федеральный округ",46.35,1560,1010523
"Астраханская область",2010,14697.2,9242.5,"Южный федеральный округ",46.35,1560,1010461
"Астраханская область",2011,16032,12292.8,"Южный федеральный округ",46.35,1560,1010646
"Астраханская область",2012,17773.4,11152.4,"Южный федеральный округ",46.35,1560,1009488
"Белгородская область",2000,1554.5,915.2,"Центральный федеральный округ",50.6,654,1504346
"Белгородская область",2001,2121.4,2098.8,"Центральный федеральный округ",50.6,654,1507554
"Белгородская область",2002,2762.3,1876,"Центральный федеральный округ",50.6,654,1510025
"Белгородская область",2003,3357.4,2092.4,"Центральный федеральный округ",50.6,654,1512879
"Белгородская область",2004,4070.2,2813.2,"Центральный федеральный округ",50.6,654,1512761
"Белгородская область",2005,5275.8,3305.4,"Центральный федеральный округ",50.6,654,1511688
"Белгородская область",2006,7082.8,5475.9,"Центральный федеральный округ",50.6,654,1512934
"Белгородская область",2007,9399.1,10788.3,"Центральный федеральный округ",50.6,654,1517127
"Белгородская область",2008,12748.9,14479.8,"Центральный федеральный округ",50.6,654,1523180
"Белгородская область",2009,14146.7,14214.1,"Центральный федеральный округ",50.6,654,1529019
"Белгородская область",2010,16992.8,23468.1,"Центральный федеральный округ",50.6,654,1532067
"Белгородская область",2011,18799.7,29073.3,"Центральный федеральный округ",50.6,654,1534478
"Белгородская область",2012,21562.9,30554.2,"Центральный федеральный округ",50.6,654,1539267
"Брянская область",2000,1312.1,404.7,"Центральный федеральный округ",53.25,379,1415576
"Брянская область",2001,1818.3,789.8,"Центральный федеральный округ",53.25,379,1399696
"Брянская область",2002,2452.4,753.5,"Центральный федеральный округ",53.25,379,1383212
"Брянская область",2003,3134.6,1069.9,"Центральный федеральный округ",53.25,379,1367626
"Брянская область",2004,3720.4,1306.9,"Центральный федеральный округ",53.25,379,1352190
"Брянская область",2005,4787.7,1574.2,"Центральный федеральный округ",53.25,379,1335892
"Брянская область",2006,6171.1,1880.8,"Центральный федеральный округ",53.25,379,1320199
"Брянская область",2007,7626.2,3324.5,"Центральный федеральный округ",53.25,379,1308046
"Брянская область",2008,10083.4,4336.7,"Центральный федеральный округ",53.25,379,1298797
"Брянская область",2009,11484.3,4465.8,"Центральный федеральный округ",53.25,379,1290395
"Брянская область",2010,13358.4,4690,"Центральный федеральный округ",53.25,379,1280947
"Брянская область",2011,15347.6,6879,"Центральный федеральный округ",53.25,379,1269511
"Брянская область",2012,17421.6,5438.2,"Центральный федеральный округ",53.25,379,1257967
"Владимирская область",2000,1279.6,413.9,"Центральный федеральный округ",56.13,190,1566780
"Владимирская область",2001,1665.9,959.1,"Центральный федеральный округ",56.13,190,1548625
"Владимирская область",2002,2158,1166,"Центральный федеральный округ",56.13,190,1529627
"Владимирская область",2003,2842,1377.3,"Центральный федеральный округ",56.13,190,1514814
"Владимирская область",2004,3381.6,1715.6,"Центральный федеральный округ",56.13,190,1503585
"Владимирская область",2005,4107.5,1730.9,"Центральный федеральный округ",56.13,190,1492025
"Владимирская область",2006,5626.9,2214.8,"Центральный федеральный округ",56.13,190,1481156
"Владимирская область",2007,7014.9,3353.7,"Центральный федеральный округ",56.13,190,1471302
"Владимирская область",2008,9479.9,4453.4,"Центральный федеральный округ",56.13,190,1462340
"Владимирская область",2009,10827.5,5196.8,"Центральный федеральный округ",56.13,190,1453855
"Владимирская область",2010,12956.2,7885.6,"Центральный федеральный округ",56.13,190,1445451
"Владимирская область",2011,14312.2,12027.9,"Центральный федеральный округ",56.13,190,1437326
"Владимирская область",2012,16136,8222.6,"Центральный федеральный округ",56.13,190,1429246
"Волгоградская обл...",2000,1577.6,469,"Южный федеральный округ",48.72,1070,2731968
"Волгоградская обл...",2001,2163,1212.6,"Южный федеральный округ",48.72,1070,2717513
"Волгоградская обл...",2002,2952.1,1705.7,"Южный федеральный округ",48.72,1070,2701912
"Волгоградская обл...",2003,3802.9,1974.4,"Южный федеральный округ",48.72,1070,2683312
"Волгоградская обл...",2004,4648.2,2526.2,"Южный федеральный округ",48.72,1070,2664301
"Волгоградская обл...",2005,5908.1,3420.8,"Южный федеральный округ",48.72,1070,2648302
"Волгоградская обл...",2006,7889.3,3704.2,"Южный федеральный округ",48.72,1070,2635176
"Волгоградская обл...",2007,9409.8,7202.9,"Южный федеральный округ",48.72,1070,2626544
"Волгоградская обл...",2008,10833.5,10839.8,"Южный федеральный округ",48.72,1070,2620594
"Волгоградская обл...",2009,12530.7,10137.2,"Южный федеральный округ",48.72,1070,2616114
"Волгоградская обл...",2010,13774.8,12334.3,"Южный федеральный округ",48.72,1070,2610835
"Волгоградская обл...",2011,14519.4,11085.9,"Южный федеральный округ",48.72,1070,2603056
"Волгоградская обл...",2012,16066.4,18624.3,"Южный федеральный округ",48.72,1070,2594646
"Вологодская область",2000,2022.8,423.5,"Северо-Западный федеральный округ",59.22,470,1294980
"Вологодская область",2001,2719,726.3,"Северо-Западный федеральный округ",59.22,470,1284455
"Вологодская область",2002,3481.3,789.4,"Северо-Западный федеральный округ",59.22,470,1272696
"Вологодская область",2003,4411.8,1126.8,"Северо-Западный федеральный округ",59.22,470,1261386
"Вологодская область",2004,5246.4,1709.1,"Северо-Западный федеральный округ",59.22,470,1250846
"Вологодская область",2005,6344.9,2052.3,"Северо-Западный федеральный округ",59.22,470,1240354
"Вологодская область",2006,8681.9,3714.8,"Северо-Западный федеральный округ",59.22,470,1230360
"Вологодская область",2007,10521,7471.3,"Северо-Западный федеральный округ",59.22,470,1222777
"Вологодская область",2008,12229.7,8689.8,"Северо-Западный федеральный округ",59.22,470,1216955
"Вологодская область",2009,12239.1,4264,"Северо-Западный федеральный округ",59.22,470,1211249
"Вологодская область",2010,14115.1,4203.8,"Северо-Западный федеральный округ",59.22,470,1204777
"Вологодская область",2011,15637.9,3531.8,"Северо-Западный федеральный округ",59.22,470,1199787
"Вологодская область",2012,18125.2,4707.3,"Северо-Западный федеральный округ",59.22,470,1197155
"Воронежская область",2000,1486.5,906.5,"Центральный федеральный округ",51.67,515,2431838
"Воронежская область",2001,2039.7,2044.2,"Центральный федеральный округ",51.67,515,2409742
"Воронежская область",2002,2597.4,3067.6,"Центральный федеральный округ",51.67,515,2385788
"Воронежская область",2003,3391.2,4128.8,"Центральный федеральный округ",51.67,515,2370959
"Воронежская область",2004,4143,4716.9,"Центральный федеральный округ",51.67,515,2366194
"Воронежская область",2005,5398,5923.2,"Центральный федеральный округ",51.67,515,2362922
"Воронежская область",2006,6861.6,7332.3,"Центральный федеральный округ",51.67,515,2357358
"Воронежская область",2007,8306.6,11813.5,"Центральный федеральный округ",51.67,515,2349109
"Воронежская область",2008,10586.8,19141.1,"Центральный федеральный округ",51.67,515,2341705
"Воронежская область",2009,11999.4,19909.9,"Центральный федеральный округ",51.67,515,2336946
"Воронежская область",2010,13883.3,22769.7,"Центральный федеральный округ",51.67,515,2334852
"Воронежская область",2011,15908.5,25248.3,"Центральный федеральный округ",51.67,515,2333752
"Воронежская область",2012,18885.1,27036,"Центральный федеральный округ",51.67,515,2332807
"г.Москва",2000,7998.3,31006.1,"Центральный федеральный округ",55.75,0,10023556
"г.Москва",2001,10282,28510.3,"Центральный федеральный округ",55.75,0,10192050
"г.Москва",2002,12460.8,44192.6,"Центральный федеральный округ",55.75,0,10328404
"г.Москва",2003,16826.6,54367.9,"Центральный федеральный округ",55.75,0,10461292
"г.Москва",2004,20899.1,69669.3,"Центральный федеральный округ",55.75,0,10631055
"г.Москва",2005,24013.9,77984.1,"Центральный федеральный округ",55.75,0,10825095
"г.Москва",2006,28249.4,86833.7,"Центральный федеральный округ",55.75,0,11007595
"г.Москва",2007,33314.8,104908,"Центральный федеральный округ",55.75,0,11139139
"г.Москва",2008,31940.1,129922.1,"Центральный федеральный округ",55.75,0,11234241
"г.Москва",2009,40071.6,96288.4,"Центральный федеральный округ",55.75,0,11331895
"г.Москва",2010,44051.5,58617.9,"Центральный федеральный округ",55.75,0,11461631
"г.Москва",2011,47318.9,56688.8,"Центральный федеральный округ",55.75,0,11604910
"г.Москва",2012,48621.6,78875.8,"Центральный федеральный округ",55.75,0,11759124
"г.Санкт-Петербург",2000,2555.6,2290.6,"Северо-Западный федеральный округ",59.93,710,4728385
"г.Санкт-Петербург",2001,3425.8,4289,"Северо-Западный федеральный округ",59.93,710,4701625
"г.Санкт-Петербург",2002,4514.4,6061.2,"Северо-Западный федеральный округ",59.93,710,4672445
"г.Санкт-Петербург",2003,6851.2,5843.3,"Северо-Западный федеральный округ",59.93,710,4659256
"г.Санкт-Петербург",2004,9175.7,10280.3,"Северо-Западный федеральный округ",59.93,710,4674264
"г.Санкт-Петербург",2005,12263.7,11335.8,"Северо-Западный федеральный округ",59.93,710,4699672
"г.Санкт-Петербург",2006,13686.7,13091.3,"Северо-Западный федеральный округ",59.93,710,4730202
"г.Санкт-Петербург",2007,16214.2,23793.1,"Северо-Западный федеральный округ",59.93,710,4756207
"г.Санкт-Петербург",2008,16946,42119.6,"Северо-Западный федеральный округ",59.93,710,4781789
"г.Санкт-Петербург",2009,21552.8,35891,"Северо-Западный федеральный округ",59.93,710,4815736
"г.Санкт-Петербург",2010,24824.3,31273.4,"Северо-Западный федеральный округ",59.93,710,4866052
"г.Санкт-Петербург",2011,26068.8,43425.3,"Северо-Западный федеральный округ",59.93,710,4937079
"г.Санкт-Петербург",2012,27794.6,45093.7,"Северо-Западный федеральный округ",59.93,710,5023175
"Еврейская автоном...",2000,1488.8,25.1,"Дальневосточный федеральный округ",48.79,8360,194170
"Еврейская автоном...",2001,2028.9,58.4,"Дальневосточный федеральный округ",48.79,8360,192545
"Еврейская автоном...",2002,3081,86.5,"Дальневосточный федеральный округ",48.79,8360,191248
"Еврейская автоном...",2003,4062.4,74.6,"Дальневосточный федеральный округ",48.79,8360,189499
"Еврейская автоном...",2004,4974.7,93.4,"Дальневосточный федеральный округ",48.79,8360,187087
"Еврейская автоном...",2005,6405.7,142.5,"Дальневосточный федеральный округ",48.79,8360,183708
"Еврейская автоном...",2006,7623.8,230.4,"Дальневосточный федеральный округ",48.79,8360,180529
"Еврейская автоном...",2007,8751.5,493.2,"Дальневосточный федеральный округ",48.79,8360,179057
"Еврейская автоном...",2008,11306.3,1422.6,"Дальневосточный федеральный округ",48.79,8360,178430
"Еврейская автоном...",2009,13646.2,627.5,"Дальневосточный федеральный округ",48.79,8360,177823
"Еврейская автоном...",2010,15347.8,460.3,"Дальневосточный федеральный округ",48.79,8360,176901
"Еврейская автоном...",2011,16525.3,461.3,"Дальневосточный федеральный округ",48.79,8360,175111
"Еврейская автоном...",2012,18151.4,1113.5,"Дальневосточный федеральный округ",48.79,8360,172814
"Забайкальский край",2000,1405.7,215.9,"Сибирский федеральный округ",52.03,6070,1185824
"Забайкальский край",2001,2011.5,563.6,"Сибирский федеральный округ",52.03,6070,1172130
"Забайкальский край",2002,2993.1,681.3,"Сибирский федеральный округ",52.03,6070,1159019
"Забайкальский край",2003,4015.7,1003.3,"Сибирский федеральный округ",52.03,6070,1147641
"Забайкальский край",2004,4799.7,1168.2,"Сибирский федеральный округ",52.03,6070,1137733
"Забайкальский край",2005,5907.6,1489,"Сибирский федеральный округ",52.03,6070,1128053
"Забайкальский край",2006,7119.2,2173.1,"Сибирский федеральный округ",52.03,6070,1119235
"Забайкальский край",2007,8265.4,3551.3,"Сибирский федеральный округ",52.03,6070,1113291
"Забайкальский край",2008,11047.2,4195.3,"Сибирский федеральный округ",52.03,6070,1110317
"Забайкальский край",2009,12704.8,3933.3,"Сибирский федеральный округ",52.03,6070,1109084
"Забайкальский край",2010,14204.5,4286.8,"Сибирский федеральный округ",52.03,6070,1107564
"Забайкальский край",2011,15968.8,5819.7,"Сибирский федеральный округ",52.03,6070,1100825
"Забайкальский край",2012,17335.6,6448.1,"Сибирский федеральный округ",52.03,6070,1091449
"Ивановская область",2000,1037.6,143.5,"Центральный федеральный округ",57,300,1186785
"Ивановская область",2001,1297.8,393.5,"Центральный федеральный округ",57,300,1170416
"Ивановская область",2002,1778.4,398.8,"Центральный федеральный округ",57,300,1153205
"Ивановская область",2003,2293.1,825.6,"Центральный федеральный округ",57,300,1137783
"Ивановская область",2004,2858.8,879.7,"Центральный федеральный округ",57,300,1123883
"Ивановская область",2005,3480.3,1282.7,"Центральный федеральный округ",57,300,1109301
"Ивановская область",2006,4456.9,2468,"Центральный федеральный округ",57,300,1095849
"Ивановская область",2007,5683.5,3434.6,"Центральный федеральный округ",57,300,1085475
"Ивановская область",2008,8343.1,5713.5,"Центральный федеральный округ",57,300,1077710
"Ивановская область",2009,9351.2,5760.8,"Центральный федеральный округ",57,300,1071048
"Ивановская область",2010,11123.5,5334.1,"Центральный федеральный округ",57,300,1063948
"Ивановская область",2011,13005.5,5314.6,"Центральный федеральный округ",57,300,1054601
"Ивановская область",2012,15930.1,5688.4,"Центральный федеральный округ",57,300,1044128
"Иркутская область",2000,2374.2,696,"Сибирский федеральный округ",52.29,5040,2633597
"Иркутская область",2001,2879.5,1846.7,"Сибирский федеральный округ",52.29,5040,2611436
"Иркутская область",2002,3609.9,1720.8,"Сибирский федеральный округ",52.29,5040,2588707
"Иркутская область",2003,4549.6,2212,"Сибирский федеральный округ",52.29,5040,2565000
"Иркутская область",2004,5418.6,2602.1,"Сибирский федеральный округ",52.29,5040,2538189
"Иркутская область",2005,7119.5,3324,"Сибирский федеральный округ",52.29,5040,2508111
"Иркутская область",2006,8826.3,3715.9,"Сибирский федеральный округ",52.29,5040,2479763
"Иркутская область",2007,10280,6454.2,"Сибирский федеральный округ",52.29,5040,2461396
"Иркутская область",2008,13169.4,8382.9,"Сибирский федеральный округ",52.29,5040,2451849
"Иркутская область",2009,13909.9,7865.3,"Сибирский федеральный округ",52.29,5040,2444339
"Иркутская область",2010,15109.7,10327.5,"Сибирский федеральный округ",52.29,5040,2434172
"Иркутская область",2011,16017.2,11524.1,"Сибирский федеральный округ",52.29,5040,2426464
"Иркутская область",2012,17720.3,13681.5,"Сибирский федеральный округ",52.29,5040,2424093
"Кабардино-Балкарс...",2000,1057.1,137.3,"Южный федеральный округ",43.5,1870,882852
"Кабардино-Балкарс...",2001,1465.7,1680.5,"Южный федеральный округ",43.5,1870,890523
"Кабардино-Балкарс...",2002,2095,1893.5,"Южный федеральный округ",43.5,1870,897712
"Кабардино-Балкарс...",2003,2571.4,1624.3,"Южный федеральный округ",43.5,1870,895344
"Кабардино-Балкарс...",2004,3159.9,1860.9,"Южный федеральный округ",43.5,1870,883473
"Кабардино-Балкарс...",2005,4190.1,2019.4,"Южный федеральный округ",43.5,1870,871732
"Кабардино-Балкарс...",2006,5258.5,2089.6,"Южный федеральный округ",43.5,1870,862308
"Кабардино-Балкарс...",2007,6902,2357.2,"Южный федеральный округ",43.5,1870,857870
"Кабардино-Балкарс...",2008,8931.4,3511.5,"Южный федеральный округ",43.5,1870,857704
"Кабардино-Балкарс...",2009,9985.6,4329.2,"Южный федеральный округ",43.5,1870,858851
"Кабардино-Балкарс...",2010,11290,6269.3,"Южный федеральный округ",43.5,1870,859684
"Кабардино-Балкарс...",2011,12636.2,9485.6,"Южный федеральный округ",43.5,1870,860743
"Кабардино-Балкарс...",2012,13681.1,8620.2,"Южный федеральный округ",43.5,1870,863328
"Калининградская о...",2000,1843.3,109.6,"Северо-Западный федеральный округ",54.71,1289,958144
"Калининградская о...",2001,2339.6,538.8,"Северо-Западный федеральный округ",54.71,1289,956484
"Калининградская о...",2002,2716.1,823,"Северо-Западный федеральный округ",54.71,1289,954767
"Калининградская о...",2003,3807.1,1128,"Северо-Западный федеральный округ",54.71,1289,950989
"Калининградская о...",2004,4692.5,1285.6,"Северо-Западный федеральный округ",54.71,1289,944992
"Калининградская о...",2005,6481.1,1964.4,"Северо-Западный федеральный округ",54.71,1289,939335
"Калининградская о...",2006,8917.5,2722.6,"Северо-Западный федеральный округ",54.71,1289,935451
"Калининградская о...",2007,11430.7,5889.7,"Северо-Западный федеральный округ",54.71,1289,934813
"Калининградская о...",2008,12919.9,11287.6,"Северо-Западный федеральный округ",54.71,1289,935954
"Калининградская о...",2009,14771.7,6974.1,"Северо-Западный федеральный округ",54.71,1289,937622
"Калининградская о...",2010,16040.1,8671.8,"Северо-Западный федеральный округ",54.71,1289,940227
"Калининградская о...",2011,16880.5,9800.3,"Северо-Западный федеральный округ",54.71,1289,944432
"Калининградская о...",2012,19371.3,9099.6,"Северо-Западный федеральный округ",54.71,1289,951167
"Калужская область",2000,1311.3,362.2,"Центральный федеральный округ",54.53,188,1065349
"Калужская область",2001,1782.1,896.4,"Центральный федеральный округ",54.53,188,1054948
"Калужская область",2002,2503.3,1008.3,"Центральный федеральный округ",54.53,188,1044109
"Калужская область",2003,3339.8,1486,"Центральный федеральный округ",54.53,188,1035135
"Калужская область",2004,4181.4,1679.3,"Центральный федеральный округ",54.53,188,1029618
"Калужская область",2005,5343.4,3531.7,"Центральный федеральный округ",54.53,188,1025461
"Калужская область",2006,6924.7,3877.5,"Центральный федеральный округ",54.53,188,1021741
"Калужская область",2007,9185.5,9641.5,"Центральный федеральный округ",54.53,188,1018934
"Калужская область",2008,11612.4,12485.8,"Центральный федеральный округ",54.53,188,1016662
"Калужская область",2009,13379.8,10355.3,"Центральный федеральный округ",54.53,188,1015297
"Калужская область",2010,15477.4,12200.5,"Центральный федеральный округ",54.53,188,1012093
"Калужская область",2011,17556.9,17895.2,"Центральный федеральный округ",54.53,188,1011477
"Калужская область",2012,20621.2,14549.5,"Центральный федеральный округ",54.53,188,1015211
"Камчатский край",2000,3452.4,96.7,"Дальневосточный федеральный округ",53.01,11870,369371
"Камчатский край",2001,4559.1,359.4,"Дальневосточный федеральный округ",53.01,11870,364034
"Камчатский край",2002,5915.6,286.1,"Дальневосточный федеральный округ",53.01,11870,359780
"Камчатский край",2003,7100.8,217.3,"Дальневосточный федеральный округ",53.01,11870,354213
"Камчатский край",2004,8343,316.7,"Дальневосточный федеральный округ",53.01,11870,347208
"Камчатский край",2005,11167.2,225.6,"Дальневосточный федеральный округ",53.01,11870,340250
"Камчатский край",2006,13811.9,275.1,"Дальневосточный федеральный округ",53.01,11870,333702
"Камчатский край",2007,16787.1,1237.6,"Дальневосточный федеральный округ",53.01,11870,329378
"Камчатский край",2008,20116.1,401.9,"Дальневосточный федеральный округ",53.01,11870,326564
"Камчатский край",2009,24051.1,1807.3,"Дальневосточный федеральный округ",53.01,11870,324171
"Камчатский край",2010,27010.3,2135.9,"Дальневосточный федеральный округ",53.01,11870,322412
"Камчатский край",2011,28964.9,3216.9,"Дальневосточный федеральный округ",53.01,11870,319957
"Камчатский край",2012,31481.6,3457.7,"Дальневосточный федеральный округ",53.01,11870,317513
"Карачаево-Черкесс...",2000,1039.5,14.7,"Южный федеральный округ",44.22,1930,440296
"Карачаево-Черкесс...",2001,1341.7,281,"Южный федеральный округ",44.22,1930,440215
"Карачаево-Черкесс...",2002,1999.4,243.2,"Южный федеральный округ",44.22,1930,439325
"Карачаево-Черкесс...",2003,2619.2,464,"Южный федеральный округ",44.22,1930,441596
"Карачаево-Черкесс...",2004,3343.7,350.4,"Южный федеральный округ",44.22,1930,447280
"Карачаево-Черкесс...",2005,4083.8,867.4,"Южный федеральный округ",44.22,1930,452354
"Карачаево-Черкесс...",2006,5196.3,1298.7,"Южный федеральный округ",44.22,1930,458068
"Карачаево-Черкесс...",2007,6402,1636.3,"Южный федеральный округ",44.22,1930,464007
"Карачаево-Черкесс...",2008,7918.1,2386.6,"Южный федеральный округ",44.22,1930,468215
"Карачаево-Черкесс...",2009,9200.6,2090.4,"Южный федеральный округ",44.22,1930,471927
"Карачаево-Черкесс...",2010,10878,2077.9,"Южный федеральный округ",44.22,1930,475597
"Карачаево-Черкесс...",2011,11741.6,2015.2,"Южный федеральный округ",44.22,1930,476097
"Карачаево-Черкесс...",2012,13353.9,2207.7,"Южный федеральный округ",44.22,1930,473569
"Кемеровская область",2000,2275.5,785.3,"Сибирский федеральный округ",55.35,3600,2952850
"Кемеровская область",2001,3086.5,1776.7,"Сибирский федеральный округ",55.35,3600,2930034
"Кемеровская область",2002,3993.6,1969.5,"Сибирский федеральный округ",55.35,3600,2905605
"Кемеровская область",2003,4906.6,2459.1,"Сибирский федеральный округ",55.35,3600,2877776
"Кемеровская область",2004,6161.6,3905.1,"Сибирский федеральный округ",55.35,3600,2847534
"Кемеровская область",2005,7888.6,6622.8,"Сибирский федеральный округ",55.35,3600,2819452
"Кемеровская область",2006,9565.8,9278.9,"Сибирский федеральный округ",55.35,3600,2795970
"Кемеровская область",2007,11876,16543.5,"Сибирский федеральный округ",55.35,3600,2783115
"Кемеровская область",2008,14670.1,21812.2,"Сибирский федеральный округ",55.35,3600,2778294
"Кемеровская область",2009,13736.1,20700.1,"Сибирский федеральный округ",55.35,3600,2774661
"Кемеровская область",2010,15341.2,19381.6,"Сибирский федеральный округ",55.35,3600,2767109
"Кемеровская область",2011,16666,22916.9,"Сибирский федеральный округ",55.35,3600,2755459
"Кемеровская область",2012,18385.5,28807,"Сибирский федеральный округ",55.35,3600,2744931
"Кировская область",2000,1359.3,385.9,"Приволжский федеральный округ",58.6,950,1545187
"Кировская область",2001,1830.6,773.7,"Приволжский федеральный округ",58.6,950,1527573
"Кировская область",2002,2517.4,711.3,"Приволжский федеральный округ",58.6,950,1508672
"Кировская область",2003,3093.6,874,"Приволжский федеральный округ",58.6,950,1485729
"Кировская область",2004,3757.9,1208.8,"Приволжский федеральный округ",58.6,950,1458918
"Кировская область",2005,4644.3,1865.2,"Приволжский федеральный округ",58.6,950,1432001
"Кировская область",2006,5885.6,2082.7,"Приволжский федеральный округ",58.6,950,1407331
"Кировская область",2007,7407.4,4112.3,"Приволжский федеральный округ",58.6,950,1387700
"Кировская область",2008,10370.4,5736.6,"Приволжский федеральный округ",58.6,950,1372193
"Кировская область",2009,11245.4,6061.4,"Приволжский федеральный округ",58.6,950,1358848
"Кировская область",2010,13330.9,7045.9,"Приволжский федеральный округ",58.6,950,1345725
"Кировская область",2011,14675,7995,"Приволжский федеральный округ",58.6,950,1329235
"Кировская область",2012,16529.9,9684.2,"Приволжский федеральный округ",58.6,950,1311107
"Коми-Пермяцкий ав...",2000,871,6.1,"Приволжский федеральный округ",59.01,1410,138269
"Коми-Пермяцкий ав...",2001,1156.7,24.4,"Приволжский федеральный округ",59.01,1410,137139
"Коми-Пермяцкий ав...",2002,1591.2,37.2,"Приволжский федеральный округ",59.01,1410,136113
"Корякский авт.округ",2000,4508,2.8,"Дальневосточный федеральный округ",59.1,9000,26237
"Корякский авт.округ",2001,5427.9,0.4,"Дальневосточный федеральный округ",59.1,9000,25773
"Корякский авт.округ",2002,6921.2,0.3,"Дальневосточный федеральный округ",59.1,9000,25345
"Костромская область",2000,1438.9,442.1,"Центральный федеральный округ",57.77,620,757942
"Костромская область",2001,1904.5,922.1,"Центральный федеральный округ",57.77,620,748972
"Костромская область",2002,2515.7,540,"Центральный федеральный округ",57.77,620,739208
"Костромская область",2003,3089.2,509.4,"Центральный федеральный округ",57.77,620,728798
"Костромская область",2004,3815.5,549.6,"Центральный федеральный округ",57.77,620,717559
"Костромская область",2005,4985.4,922,"Центральный федеральный округ",57.77,620,705870
"Костромская область",2006,6397.5,810.5,"Центральный федеральный округ",57.77,620,694787
"Костромская область",2007,7857.3,1870,"Центральный федеральный округ",57.77,620,686615
"Костромская область",2008,9607.9,2022.9,"Центральный федеральный округ",57.77,620,680604
"Костромская область",2009,10695.6,1575.1,"Центральный федеральный округ",57.77,620,675365
"Костромская область",2010,13314.8,1921.3,"Центральный федеральный округ",57.77,620,669665
"Костромская область",2011,14574.3,2241.4,"Центральный федеральный округ",57.77,620,662068
"Костромская область",2012,15808.2,2510.3,"Центральный федеральный округ",57.77,620,654405
"Краснодарский край",2000,1563.4,771.4,"Южный федеральный округ",45.04,1540,5133111
"Краснодарский край",2001,2124.6,6440,"Южный федеральный округ",45.04,1540,5132207
"Краснодарский край",2002,2856.8,7696.7,"Южный федеральный округ",45.04,1540,5125744
"Краснодарский край",2003,3662.2,11445.8,"Южный федеральный округ",45.04,1540,5117381
"Краснодарский край",2004,4378.9,13256.9,"Южный федеральный округ",45.04,1540,5116904
"Краснодарский край",2005,5545.2,23269.2,"Южный федеральный округ",45.04,1540,5123077
"Краснодарский край",2006,7193.1,33546.3,"Южный федеральный округ",45.04,1540,5135081
